Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Kyoshi Warriors,TLA,Avatar: The Last Airbender,26,normal,common,9,109651,211045e1-85c7-4088-b830-a2afa0fe520b,0.21,false,false,near_mint,en,AUD,2026-09-01T11:01:18.322Z
Master Piandao,TLA,Avatar: The Last Airbender,28,normal,uncommon,2,108191,3e4a042c-f2a6-45e7-9444-acd1ca838b87,0.33,false,false,near_mint,en,AUD,2026-09-01T11:01:53.984Z
"Momo, Playful Pet",TLA,Avatar: The Last Airbender,30,normal,uncommon,1,109491,9350bf4a-fa12-4867-b31f-1f1394d99571,0.33,false,false,near_mint,en,AUD,2026-09-01T11:02:33.441Z
Path to Redemption,TLA,Avatar: The Last Airbender,31,normal,common,11,108310,f936d64a-0db4-49c1-8a57-6d99e012a555,0.26,false,false,near_mint,en,AUD,2026-09-01T11:03:11.002Z
Rabaroo Troop,TLA,Avatar: The Last Airbender,32,normal,common,14,108219,62a983b4-ac73-4949-9317-05a75a8ce164,0.24,false,false,near_mint,en,AUD,2026-09-01T11:03:53.241Z
Razor Rings,TLA,Avatar: The Last Airbender,33,normal,common,10,108265,b05cfee5-ee59-4df6-a5f6-d9ef0fa7f98a,0.19,false,false,near_mint,en,AUD,2026-09-01T11:05:12.593Z
Sandbenders' Storm,TLA,Avatar: The Last Airbender,34,normal,common,9,109779,b3bf4a25-4329-4318-870a-2b06aa620dc4,0.26,false,false,near_mint,en,AUD,2026-09-01T11:06:19.782Z
Southern Air Temple,TLA,Avatar: The Last Airbender,36,normal,uncommon,3,108118,5c172f9b-2184-4736-9f90-74ce08596292,0.37,false,false,near_mint,en,AUD,2026-09-01T11:07:05.452Z
Team Avatar,TLA,Avatar: The Last Airbender,38,normal,uncommon,2,109768,a9a5f6f7-f04d-477f-b67f-fd01a5dcc0f5,0.28,false,false,near_mint,en,AUD,2026-09-01T11:07:54.934Z
Vengeful Villagers,TLA,Avatar: The Last Airbender,40,normal,uncommon,4,109743,8cabb6ed-5c80-4dab-b96c-9d4d9fe72db7,0.17,false,false,near_mint,en,AUD,2026-09-01T11:08:34.325Z
Water Tribe Captain,TLA,Avatar: The Last Airbender,41,normal,common,9,109632,0a0cdf97-1927-47c6-8ef1-29969e3567ee,0.12,false,false,near_mint,en,AUD,2026-09-01T11:09:14.701Z
Yip Yip!,TLA,Avatar: The Last Airbender,43,normal,common,12,109420,43f4b10e-165b-4100-82f3-728e1b0c78ed,0.29,false,false,near_mint,en,AUD,2026-09-01T11:10:03.631Z
Benevolent River Spirit,TLA,Avatar: The Last Airbender,45,normal,uncommon,4,109731,7ffb79cd-d170-4047-89c8-6e85188f30da,0.29,false,false,near_mint,en,AUD,2026-09-01T11:10:50.414Z
Crashing Wave,TLA,Avatar: The Last Airbender,47,normal,uncommon,4,109754,9fd02eb4-1ef5-4a14-89a8-b25e720e8016,0.32,false,false,near_mint,en,AUD,2026-09-01T11:11:33.403Z
First-Time Flyer,TLA,Avatar: The Last Airbender,49,normal,common,13,108296,ea22d29d-3a62-4ae2-91d5-21a678be9b48,0.12,false,false,near_mint,en,AUD,2026-09-01T11:12:25.990Z
Forecasting Fortune Teller,TLA,Avatar: The Last Airbender,51,normal,common,11,109366,023e7ad4-6af0-4f29-a716-27a313974227,0.17,false,false,near_mint,en,AUD,2026-09-01T11:13:40.554Z
Geyser Leaper,TLA,Avatar: The Last Airbender,52,normal,common,13,108205,4d25428d-e5a5-43c4-8544-43120ed1c4d5,0.18,false,false,near_mint,en,AUD,2026-09-01T11:14:20.264Z
Giant Koi,TLA,Avatar: The Last Airbender,53,normal,common,16,108186,3938ec1f-979c-48e5-bb13-bebace006a8f,0.18,false,false,near_mint,en,AUD,2026-09-01T11:15:21.523Z
Honest Work,TLA,Avatar: The Last Airbender,55,normal,uncommon,4,109439,57e0ccb0-22f0-4e4d-9a47-c4fec2c7f251,0.36,false,false,near_mint,en,AUD,2026-09-01T11:16:05.311Z
Iguana Parrot,TLA,Avatar: The Last Airbender,56,normal,common,10,108235,7faa3e3d-c08a-4908-85ef-1370d3f90815,0.19,false,false,near_mint,en,AUD,2026-09-01T11:16:44.722Z
Invasion Submersible,TLA,Avatar: The Last Airbender,57,normal,uncommon,4,109516,af5299f5-1633-4c07-ade5-fd47e29ea4aa,0.24,false,false,near_mint,en,AUD,2026-09-01T11:17:11.116Z
It'll Quench Ya!,TLA,Avatar: The Last Airbender,58,normal,common,7,108199,47c25e41-f43c-4447-81b5-b9631448bd29,0.35,false,false,near_mint,en,AUD,2026-09-01T11:17:49.178Z
"Katara, Bending Prodigy",TLA,Avatar: The Last Airbender,59,normal,uncommon,5,108294,e8372167-383f-4302-a8ea-b6bf495c870c,0.3,false,false,near_mint,en,AUD,2026-09-01T11:18:19.949Z
Knowledge Seeker,TLA,Avatar: The Last Airbender,60,normal,uncommon,3,109738,8554e862-f78a-42f5-b876-076aac6c9504,0.28,false,false,near_mint,en,AUD,2026-09-01T11:18:40.799Z
Lost Days,TLA,Avatar: The Last Airbender,62,normal,common,9,109559,db8e88e3-0931-403f-90e7-3c22c0b61dac,0.22,false,false,near_mint,en,AUD,2026-09-01T11:19:44.096Z
Master Pakku,TLA,Avatar: The Last Airbender,63,normal,uncommon,4,108246,91e30df5-63f7-4281-8d64-8d522d663652,0.29,false,false,near_mint,en,AUD,2026-09-01T11:20:20.392Z
"The Mechanist, Aerial Artisan",TLA,Avatar: The Last Airbender,64,normal,rare,2,109524,b910851e-9332-4c83-a790-d379667cabfc,0.4,false,false,near_mint,en,AUD,2026-09-01T11:20:45.339Z
North Pole Patrol,TLA,Avatar: The Last Airbender,65,normal,uncommon,3,109536,c2c0c138-5b61-4949-8431-4a6d458ead6a,0.25,false,false,near_mint,en,AUD,2026-09-01T11:21:25.594Z
Otter-Penguin,TLA,Avatar: The Last Airbender,67,normal,common,8,108200,480b6279-bb34-4b3f-a639-868b52af92b9,0.25,false,false,near_mint,en,AUD,2026-09-01T11:22:29.886Z
Rowdy Snowballers,TLA,Avatar: The Last Airbender,68,normal,common,12,108165,17d71522-b133-4003-b787-0c742a2fd70e,0.22,false,false,near_mint,en,AUD,2026-09-01T11:23:05.735Z
Serpent of the Pass,TLA,Avatar: The Last Airbender,70,normal,uncommon,7,108237,87595843-15bc-48bb-8a81-3e6ad924ed44,0.21,false,false,near_mint,en,AUD,2026-09-01T11:24:06.813Z
Sokka's Haiku,TLA,Avatar: The Last Airbender,71,normal,uncommon,9,108102,004be4bc-ac3c-4026-8d36-f4687ab18c70,0.28,false,false,near_mint,en,AUD,2026-09-01T11:24:37.636Z
"Teo, Spirited Glider",TLA,Avatar: The Last Airbender,74,normal,uncommon,7,109450,66906ed4-baac-4be0-9359-34f453d1a04a,0.18,false,false,near_mint,en,AUD,2026-09-01T11:26:06.522Z
Tiger-Seal,TLA,Avatar: The Last Airbender,75,normal,rare,1,109471,7aef2891-1269-4a1a-acea-0aa37ef544c4,0.28,false,false,near_mint,en,AUD,2026-09-01T11:26:39.658Z
Waterbending Lesson,TLA,Avatar: The Last Airbender,80,normal,common,9,108207,4f81e3b5-a0a9-4764-8c2d-b499ce1740b4,0.28,false,false,near_mint,en,AUD,2026-09-01T11:28:30.742Z
Watery Grasp,TLA,Avatar: The Last Airbender,82,normal,common,12,108177,26bcff57-428e-4f30-a153-a778fbfc437d,0.25,false,false,near_mint,en,AUD,2026-09-01T11:29:41.656Z
"Yue, the Moon Spirit",TLA,Avatar: The Last Airbender,83,normal,rare,1,108143,ecdac50f-c639-43fc-a03e-d488fac96ae2,0.4,false,false,near_mint,en,AUD,2026-09-01T11:30:56.435Z
Azula Always Lies,TLA,Avatar: The Last Airbender,84,normal,common,13,108194,416b9207-a2af-44d1-9b87-4943f6e46d42,0.19,false,false,near_mint,en,AUD,2026-09-01T11:32:59.644Z
"Azula, On the Hunt",TLA,Avatar: The Last Airbender,85,normal,uncommon,5,109383,1335a145-248a-4f1e-8760-9a5d531e14e3,0.3,false,false,near_mint,en,AUD,2026-09-01T11:33:38.222Z
Beetle-Headed Merchants,TLA,Avatar: The Last Airbender,86,normal,common,13,108273,c2eed79f-38c1-4aac-9525-d54cb114f17f,0.12,false,false,near_mint,en,AUD,2026-09-01T11:34:20.778Z
Boiling Rock Rioter,TLA,Avatar: The Last Airbender,87,normal,rare,1,109464,739653cc-35c8-4a66-95d8-3e80fa6114f0,0.32,false,false,near_mint,en,AUD,2026-09-01T11:34:43.691Z
Buzzard-Wasp Colony,TLA,Avatar: The Last Airbender,88,normal,uncommon,9,108195,42d83229-0555-4361-8964-4b525c825843,0.25,false,false,near_mint,en,AUD,2026-09-01T11:35:19.885Z
Callous Inspector,TLA,Avatar: The Last Airbender,89,normal,common,12,109579,f22610e9-6b14-4914-bb67-bd6723bec9aa,0.24,false,false,near_mint,en,AUD,2026-09-01T11:36:11.903Z
Canyon Crawler,TLA,Avatar: The Last Airbender,90,normal,common,8,109668,30a30bfb-f0f3-425b-b37d-20079ee27046,0.26,false,false,near_mint,en,AUD,2026-09-01T11:36:40.692Z
Cat-Gator,TLA,Avatar: The Last Airbender,91,normal,uncommon,3,108298,ec83a825-79e6-42a4-919c-3bc498ff4433,0.19,false,false,near_mint,en,AUD,2026-09-01T11:37:02.994Z
Corrupt Court Official,TLA,Avatar: The Last Airbender,92,normal,common,14,108198,4692610e-d64c-438e-b5ad-0cf67fd57f1f,0.18,false,false,near_mint,en,AUD,2026-09-01T11:37:34.172Z
Dai Li Indoctrination,TLA,Avatar: The Last Airbender,93,normal,common,18,108299,eca652b8-44f1-4bd9-b4bf-036eeead13aa,0.19,false,false,near_mint,en,AUD,2026-09-01T11:38:27.358Z
Deadly Precision,TLA,Avatar: The Last Airbender,95,normal,common,13,109422,4661daf6-d960-4278-8946-70948efaf99d,0.21,false,false,near_mint,en,AUD,2026-09-01T11:39:29.332Z
Epic Downfall,TLA,Avatar: The Last Airbender,96,normal,uncommon,6,108189,3b4a6804-04f5-4467-bb1c-9466a47bc55f,0.28,false,false,near_mint,en,AUD,2026-09-01T11:40:06.963Z
Fatal Fissure,TLA,Avatar: The Last Airbender,97,normal,uncommon,4,109671,3343933d-4425-4ede-8d92-876bd0c6df60,0.21,false,false,near_mint,en,AUD,2026-09-01T11:40:41.099Z
Fire Navy Trebuchet,TLA,Avatar: The Last Airbender,100,normal,uncommon,4,109820,e58372cc-9a89-47a4-a0db-df5435e26cd3,0.32,false,false,near_mint,en,AUD,2026-09-01T11:42:29.023Z
Foggy Swamp Hunters,TLA,Avatar: The Last Airbender,101,normal,common,7,109689,3f6e5869-ca25-4b98-a844-8a498cb40aab,0.12,false,false,near_mint,en,AUD,2026-09-01T11:43:45.840Z
Foggy Swamp Visions,TLA,Avatar: The Last Airbender,102,normal,rare,3,109415,3a46deaa-88f7-4eec-aa99-b85073847918,0.39,false,false,near_mint,en,AUD,2026-09-01T11:44:10.470Z
Heartless Act,TLA,Avatar: The Last Airbender,103,normal,uncommon,3,108268,b57c57a8-d72b-4c6c-a2db-a7ef61190f42,0.39,false,false,near_mint,en,AUD,2026-09-01T11:44:33.053Z
Hog-Monkey,TLA,Avatar: The Last Airbender,104,normal,common,10,108206,4f442970-5355-4abf-8684-17daaa8e469b,0.15,false,false,near_mint,en,AUD,2026-09-01T11:45:05.339Z
"Joo Dee, One of Many",TLA,Avatar: The Last Airbender,105,normal,uncommon,4,109730,7ae1439f-a0c4-42c2-a4f3-8851defa981e,0.3,false,false,near_mint,en,AUD,2026-09-01T11:45:28.921Z
"June, Bounty Hunter",TLA,Avatar: The Last Airbender,106,normal,uncommon,4,109385,148bbaab-bc7b-46ab-8e18-ade69d71d847,0.25,false,false,near_mint,en,AUD,2026-09-01T11:46:06.883Z
"Lo and Li, Twin Tutors",TLA,Avatar: The Last Airbender,108,normal,uncommon,3,109794,cba9260d-ef07-4429-99f9-6004cc1fea0f,0.21,false,false,near_mint,en,AUD,2026-09-01T11:46:53.051Z
Merchant of Many Hats,TLA,Avatar: The Last Airbender,110,normal,common,11,108229,752ffa24-93b6-4b33-bf10-7222357ac472,0.1,false,false,near_mint,en,AUD,2026-09-01T11:47:37.786Z
Northern Air Temple,TLA,Avatar: The Last Airbender,111,normal,uncommon,4,109370,06b7675e-e665-49cb-a8d9-7092a654d464,0.4,false,false,near_mint,en,AUD,2026-09-01T11:48:12.617Z
Ozai's Cruelty,TLA,Avatar: The Last Airbender,113,normal,uncommon,5,108173,22cad680-d46a-4589-a633-b6ee9a78d61e,0.26,false,false,near_mint,en,AUD,2026-09-01T11:49:03.724Z
Phoenix Fleet Airship,TLA,Avatar: The Last Airbender,114,normal,mythic,1,109781,b51d3259-c41c-4f64-9666-0a9e676c812f,1.94,false,false,near_mint,en,AUD,2026-09-01T11:49:27.988Z
Pirate Peddlers,TLA,Avatar: The Last Airbender,115,normal,common,11,109919,5c998994-6c3b-4f34-9b31-babba2b17266,0.22,false,false,near_mint,en,AUD,2026-09-01T11:49:58.792Z
Ruinous Waterbending,TLA,Avatar: The Last Airbender,118,normal,uncommon,2,109702,53161747-c82b-41e8-90ea-7791ea262a85,0.28,false,false,near_mint,en,AUD,2026-09-01T11:51:56.802Z
Sold Out,TLA,Avatar: The Last Airbender,119,normal,common,13,109389,1affba6d-2cca-4cdf-8690-1e23ffbe8462,0.14,false,false,near_mint,en,AUD,2026-09-01T11:52:36.160Z
Swampsnare Trap,TLA,Avatar: The Last Airbender,120,normal,common,10,109709,6348b6bf-08a7-45f0-8b2d-2827ab89f21c,0.24,false,false,near_mint,en,AUD,2026-09-01T11:53:07.463Z
Tundra Tank,TLA,Avatar: The Last Airbender,121,normal,uncommon,5,109384,13c66fce-8f8e-4a98-8413-9f05aebf6e13,0.22,false,false,near_mint,en,AUD,2026-09-01T11:53:35.819Z
Wolfbat,TLA,Avatar: The Last Airbender,122,normal,uncommon,5,109666,2ae83b4e-e5a4-4c98-8d16-eef3c71b8ff2,0.19,false,false,near_mint,en,AUD,2026-09-01T11:54:14.111Z
Zuko's Conviction,TLA,Avatar: The Last Airbender,123,normal,uncommon,5,109923,ad8933d6-cdc7-4d60-a78e-b43ffecfb136,0.36,false,false,near_mint,en,AUD,2026-09-01T11:54:45.147Z
Boar-q-pine,TLA,Avatar: The Last Airbender,124,normal,common,6,109629,087a445c-5f63-45d6-83e8-20d22650db20,0.18,false,false,near_mint,en,AUD,2026-09-01T11:55:37.349Z
Bumi Bash,TLA,Avatar: The Last Airbender,125,normal,common,7,109571,e8895479-26cb-4ee8-98ca-6d46c43f0dbd,0.12,false,false,near_mint,en,AUD,2026-09-01T11:56:05.472Z
The Cave of Two Lovers,TLA,Avatar: The Last Airbender,126,normal,uncommon,3,109432,50bf5c8b-f218-46b7-843c-8d8083f02fd2,0.28,false,false,near_mint,en,AUD,2026-09-01T11:56:39.555Z
Combustion Man,TLA,Avatar: The Last Airbender,127,normal,uncommon,5,109740,86f7399d-6876-4e85-ba34-ff1f97dc144a,0.4,false,false,near_mint,en,AUD,2026-09-01T11:57:07.579Z
Crescent Island Temple,TLA,Avatar: The Last Airbender,129,normal,uncommon,3,109367,04c85150-269e-4158-a1b9-bd11bc6b7d79,0.4,false,false,near_mint,en,AUD,2026-09-01T11:57:45.735Z
Cunning Maneuver,TLA,Avatar: The Last Airbender,130,normal,common,8,109380,0ff7c993-ba29-43b0-9639-7c4bc0292fa2,0.21,false,false,near_mint,en,AUD,2026-09-01T11:58:25.592Z
Deserter's Disciple,TLA,Avatar: The Last Airbender,131,normal,common,13,108164,14f2ed5a-042b-4cce-82ad-cfb4bd511d98,0.18,false,false,near_mint,en,AUD,2026-09-01T11:59:00.490Z
Fire Nation Cadets,TLA,Avatar: The Last Airbender,134,normal,common,10,109388,1a3a862c-9c9a-41cd-94d1-2d0cff22a6cd,0.25,false,false,near_mint,en,AUD,2026-09-01T12:00:26.957Z
Fire Nation Raider,TLA,Avatar: The Last Airbender,135,normal,common,10,109827,ede1bbdb-c726-46e3-aaf1-b8cf2be2c341,0.15,false,false,near_mint,en,AUD,2026-09-01T12:01:05.134Z
Fire Sages,TLA,Avatar: The Last Airbender,136,normal,uncommon,5,108225,71a9fa44-306f-417a-a9d9-991aff95025c,0.24,false,false,near_mint,en,AUD,2026-09-01T12:07:58.146Z
Firebending Lesson,TLA,Avatar: The Last Airbender,138,normal,common,4,109926,fa940e68-010e-4b68-be8a-555d7068f7b4,0.32,false,false,near_mint,en,AUD,2026-09-01T12:08:47.889Z
How to Start a Riot,TLA,Avatar: The Last Airbender,140,normal,common,12,108174,23b3bf1e-ea85-47f5-8473-4d16615f68d7,0.24,false,false,near_mint,en,AUD,2026-09-01T12:09:50.971Z
"Jeong Jeong, the Deserter",TLA,Avatar: The Last Airbender,142,normal,uncommon,6,109510,a9f63d3b-bee5-48bc-8b04-d8b24b0bda6e,0.33,false,false,near_mint,en,AUD,2026-09-01T12:13:02.594Z
Jet's Brainwashing,TLA,Avatar: The Last Airbender,143,normal,uncommon,4,109519,b17e8bdb-4b91-4a9d-bfe1-8a55f0bd040b,0.26,false,false,near_mint,en,AUD,2026-09-01T12:13:38.353Z
The Last Agni Kai,TLA,Avatar: The Last Airbender,144,normal,rare,1,109446,61eaebc6-7575-48ed-b212-ff8b0c7ae694,4.1,false,false,near_mint,en,AUD,2026-09-01T12:14:06.424Z
Lightning Strike,TLA,Avatar: The Last Airbender,146,normal,common,15,108213,5787b0e0-9469-4a6d-8b81-c992628e28c0,0.3,false,false,near_mint,en,AUD,2026-09-01T12:14:56.352Z
"Mai, Jaded Edge",TLA,Avatar: The Last Airbender,147,normal,uncommon,5,109463,732e6bc9-0798-4c00-aea0-5ef4298b45f5,0.26,false,false,near_mint,en,AUD,2026-09-01T12:15:23.429Z
Mongoose Lizard,TLA,Avatar: The Last Airbender,148,normal,common,9,108232,7d40b9cb-82ef-44c5-8d3c-c8bb4ce9891c,0.14,false,false,near_mint,en,AUD,2026-09-01T12:16:02.967Z
Ran and Shaw,TLA,Avatar: The Last Airbender,150,normal,rare,1,109448,6436e2d0-989f-47e3-90bc-9cde82a2ddb4,0.4,false,false,near_mint,en,AUD,2026-09-01T12:16:36.663Z
Rough Rhino Cavalry,TLA,Avatar: The Last Airbender,152,normal,common,15,108259,a8bc29cf-f6f8-4bb8-b722-f016b58b6d2d,0.22,false,false,near_mint,en,AUD,2026-09-01T12:17:35.295Z
Solstice Revelations,TLA,Avatar: The Last Airbender,153,normal,uncommon,5,109580,f22ac19f-66fb-4d54-9f09-495a20a29577,0.3,false,false,near_mint,en,AUD,2026-09-01T12:18:03.668Z
Tiger-Dillo,TLA,Avatar: The Last Airbender,155,normal,uncommon,3,109369,067bd117-04e6-410e-89c4-6d431d627751,0.15,false,false,near_mint,en,AUD,2026-09-01T12:18:38.564Z
Treetop Freedom Fighters,TLA,Avatar: The Last Airbender,156,normal,common,9,109507,a9394200-7ffc-440f-8b5f-c08b7930133c,0.18,false,false,near_mint,en,AUD,2026-09-01T12:19:03.841Z
Twin Blades,TLA,Avatar: The Last Airbender,157,normal,uncommon,4,109560,dc399ae0-36b5-4c92-9fe2-138caf8d7a86,0.3,false,false,near_mint,en,AUD,2026-09-01T12:19:23.710Z
"Ty Lee, Artful Acrobat",TLA,Avatar: The Last Airbender,158,normal,uncommon,5,109561,dcd9df24-272b-4aa1-b05f-6ee6b3d3dfe7,0.36,false,false,near_mint,en,AUD,2026-09-01T12:19:48.405Z
War Balloon,TLA,Avatar: The Last Airbender,159,normal,uncommon,3,109451,6829b20d-c2fa-41a6-89ca-f21c522d8866,0.19,false,false,near_mint,en,AUD,2026-09-01T12:20:13.184Z
Wartime Protestors,TLA,Avatar: The Last Airbender,160,normal,rare,1,109924,bac81940-d717-49ff-83b2-16a22bb2c988,0.35,false,false,near_mint,en,AUD,2026-09-01T12:20:39.059Z
Yuyan Archers,TLA,Avatar: The Last Airbender,161,normal,common,7,108250,99244462-a996-4a5b-91fb-947045647d6d,0.24,false,false,near_mint,en,AUD,2026-09-01T12:21:18.280Z
"Zhao, the Moon Slayer",TLA,Avatar: The Last Airbender,162,normal,rare,1,109829,f1015bf5-de98-41f3-b6b1-ed95f7465944,0.39,false,false,near_mint,en,AUD,2026-09-01T12:21:40.179Z
"Zuko, Exiled Prince",TLA,Avatar: The Last Airbender,163,normal,uncommon,3,108221,6a73b372-9c0e-4a85-89d2-440163330687,0.36,false,false,near_mint,en,AUD,2026-09-01T12:22:00.001Z
Allies at Last,TLA,Avatar: The Last Airbender,164,normal,uncommon,2,109381,11a77897-2aba-4a9b-bbe6-1768ca9f12cb,0.28,false,false,near_mint,en,AUD,2026-09-01T12:22:18.524Z
Badgermole,TLA,Avatar: The Last Airbender,166,normal,common,13,108260,aabbd420-b7fc-496f-9168-bad823d51d9e,0.32,false,false,near_mint,en,AUD,2026-09-01T12:23:17.488Z
"The Boulder, Ready to Rumble",TLA,Avatar: The Last Airbender,168,normal,uncommon,7,109826,ec27a466-5457-44c6-a842-1de7d3788d66,0.42,false,false,near_mint,en,AUD,2026-09-01T12:24:06.003Z
"Bumi, King of Three Trials",TLA,Avatar: The Last Airbender,169,normal,uncommon,2,109758,a268697b-22b0-4e1b-a5b6-d9be95025e57,0.3,false,false,near_mint,en,AUD,2026-09-01T12:24:24.758Z
Cycle of Renewal,TLA,Avatar: The Last Airbender,170,normal,common,3,109398,233f4a05-057b-48f4-8f56-8d4a060a40e4,0.42,false,false,near_mint,en,AUD,2026-09-01T12:24:50.071Z
Diligent Zookeeper,TLA,Avatar: The Last Airbender,171,normal,rare,2,109394,21f52564-9820-42dc-a08d-459d51afc397,0.24,false,false,near_mint,en,AUD,2026-09-01T12:25:19.112Z
Earth Kingdom General,TLA,Avatar: The Last Airbender,173,normal,uncommon,5,109481,8688fce5-74b1-41e1-a59a-05a3878a75cb,0.32,false,false,near_mint,en,AUD,2026-09-01T12:25:58.955Z
Earth Rumble,TLA,Avatar: The Last Airbender,174,normal,uncommon,2,108218,62730505-56f1-4043-a8b9-4fb7bc508b47,0.3,false,false,near_mint,en,AUD,2026-09-01T12:26:24.750Z
Earthbending Lesson,TLA,Avatar: The Last Airbender,176,normal,common,10,108142,eccd63b3-3a3a-4661-9d6e-fb8152429bdb,0.26,false,false,near_mint,en,AUD,2026-09-01T12:27:45.835Z
Earthen Ally,TLA,Avatar: The Last Airbender,177,normal,rare,2,109805,d7a0f2d9-efa4-4a53-a24b-36694457bd1c,0.42,false,false,near_mint,en,AUD,2026-09-01T12:28:12.013Z
Elemental Teachings,TLA,Avatar: The Last Airbender,178,normal,rare,1,109539,cac8ac35-6860-4839-ab85-93d409206c08,0.44,false,false,near_mint,en,AUD,2026-09-01T12:28:34.764Z
"Flopsie, Bumi's Buddy",TLA,Avatar: The Last Airbender,179,normal,uncommon,5,108156,082f4abc-c09f-42cf-977f-060875dfd411,0.3,false,false,near_mint,en,AUD,2026-09-01T12:28:59.295Z
Foggy Swamp Vinebender,TLA,Avatar: The Last Airbender,180,normal,common,10,109727,78a75317-94f7-47a4-b4da-5a027fa73248,0.15,false,false,near_mint,en,AUD,2026-09-01T12:29:34.942Z
"Haru, Hidden Talent",TLA,Avatar: The Last Airbender,182,normal,uncommon,5,108248,9657a0c0-2c26-4331-8e62-f032265a01af,0.3,false,false,near_mint,en,AUD,2026-09-01T12:30:36.706Z
